filename,CREATE_SUSPENDED,WININET.dll.InternetOpenUrl,WS_MAXIMIZEBOX,OverlappedWinsockIO_Recv,<dump_line,Einstellungen,&#xD9,NetShareEnumSticky,MSWSOCK,00 00 00 00 00 00 00 00,Travel Insurance.url,MachineGuid,WINHELP.INI,Shell_TrayWnd
0015c8c9ff02fea9d0f45692b9eebfb4abff4e42f,0,0,0,0,0,0,0,0,0,0,0,0,0,1
001f298a534ae4b0db7f2707169250aa215c3b5f2,3,4,0,0,31,4,0,2,0,0,0,0,0,0
001f5fdaaa8bbe20303527198d09a30bb7ca3eb50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002ca2c41b649f85c05ae30013436781a932fecc6,0,4,0,0,280,45,0,2,0,0,0,1,0,1
003e109543b4ea22d2bcc1ec309bf2fd34e9a1a1d,0,0,0,0,0,0,0,0,0,0,0,0,0,1
004070b468d6bb29848c76cfCd5887849c7bb648d,3,4,0,0,31,4,0,2,0,0,0,0,0,0
005b95d2520C8621171566f5803437b0c443778e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0071a3b818ed06d3865a24fdb31d4147c67fabfc5,0,0,1,0,0,0,0,0,0,0,0,0,2,0
007436715ec13cedd38344772a2144a3d79f3ea68,0,0,2,0,6,0,0,0,0,1,0,0,0,0
00810ef95f86daee349107255601afc51e9a7eba2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00888535488746a0c494c41fbe93940f72aad0f30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008cc72e6d82f36c8d4a95ab35e241b5e58411845,0,0,1,0,0,0,0,0,0,0,0,0,2,1
00a2b881ddba2fbece1d2853bc8484072c0ad795b,3,8,0,0,26,4,0,2,0,0,0,0,0,0
00ab51519cdf57cf9a53aa4e0caeada0753a36bd4,3,0,1,43,844,0,0,0,0,0,0,0,0,0
00c0646c7dfd525f704f0f81dfa9f900e3357abf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e379c843a3f67fb8d4A7832c0701d797f11f9f3,0,0,4,0,43,81,0,0,0,0,0,0,0,0
00e586a3c25d97bc1b112cbad672a91ba238f4296,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00fb3b50ccfadd5b427aba20792bb95a4260db685,1,4,0,0,0,99,0,2,0,0,0,0,0,1
010d1e20d98e8b87b4208a6b5c80f0C1c088037d8,0,0,1,0,0,0,0,0,0,0,0,0,2,1
0113a8aead089b16a65f837b3524f58e84c34e303,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01178cc12a1c4340c520ce669728Ad3538ab2f0f1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
01392e526a68f01285549de36e16333e95e51ce60,0,24,0,0,4207,128,0,10,0,0,0,0,0,0
01457a2418244506c274051df725c475d1f7d92d7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0173a0d4005e410835b0fD49e3f02268265c3f8bb,0,0,1,0,0,0,0,0,0,0,0,0,2,0
0175d1a73db8e4c2fd406628978721b2664d2deb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01d9d46e124041ac3e98E4fd9fea0ee0e838e3c15,0,0,1,0,26,0,0,0,0,0,0,0,0,1
01ea0141110652ac0ecee45b753877bCe66a887cc,0,0,0,0,0,0,0,0,0,0,0,0,0,1
022cc4a532bd85062d52516667c519b59cb8f419a,0,0,1,0,0,0,0,0,0,0,0,0,2,0
023c00261dcaf806767f98513c4de1e29b7123644,0,0,1,0,0,0,0,0,0,0,0,0,0,1
029b8627794ac19ce8df18110617586787ed9f84b,2,0,0,0,0,0,0,0,0,0,0,0,0,0
029fd200642365a45173b6c43ea98c9c22141a46f,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02b8c7d0301b252ee6cebe72e68931cfd16df3d32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02c6e4f6bada7f56394030e100085cc7f36cc4741,0,0,1,0,0,147,0,0,0,0,0,0,2,0
02d57eefe3d00c56ed78becdda9d92a784fe243dc,0,0,1,0,0,0,0,0,0,0,0,0,2,0
0312f8d09c1a7d3c7adadf9c377ab1dcf174bc5f5,0,0,1,0,0,0,0,0,0,0,0,0,2,1
0314043eed05f84414345157c8d5c3bb152802159,0,0,1,0,0,0,0,0,0,0,0,0,2,0
031924e957675a27504121655055fccc1ea7b048c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031f039eef2630048003A82f28ca3468e13f66e65,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0323c5f1f60dc0c73a851992129a85cb59689e371,0,0,1,0,0,0,0,0,0,0,0,0,0,0
032ef1E987f77687a3942322478e4c880f5b4067d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0337fa68498c85f02cace3808fa6d75b08371ddd3,3,4,0,0,31,4,0,2,0,0,0,0,0,0
033a86c17053dad4dc8ecfd26b08fd0024bb44d7a,3,4,0,0,31,4,0,2,0,0,0,0,0,0
0349565eb0a4f21d6d0bf570ff754b71ac17db0cb,1,12,1,0,4524,242,2,6,0,70,0,0,0,3
03586cccaabf97a6bcb1f154dead6b70d07fFf1c6,1,16,0,0,981,103,0,12,0,0,0,0,0,1
038b047c1eb914f55428964122a83d40d2fc2823a,0,0,0,0,0,85,0,0,0,0,0,0,0,1
038b1388ae68acd91a1394c8f5753878dcc54ed85,3,8,0,0,26,4,0,2,0,0,0,0,0,0
03a2b9a9e7a91703da192801a301f66066af5b4ec,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03e2b31b781b23ee746c63d473b8fc9df8581afd8,0,0,0,0,0,26,0,0,0,0,0,0,0,0
04664bebcb495b843f19178a60473a4b75db7585a,0,0,1,0,0,2257,0,0,0,0,0,0,0,0
