filename,virus,CREATE_SUSPENDED,WININET.dll.InternetOpenUrl,WS_MAXIMIZEBOX,OverlappedWinsockIO_Recv,<dump_line,Einstellungen,&#xD9,NetShareEnumSticky,MSWSOCK,00 00 00 00 00 00 00 00,Travel Insurance.url,MachineGuid,WINHELP.INI,Shell_TrayWnd
a9bb71968cbea464cd56889695e68fcb323ff6318.VB.xml,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0
a9c8d37fdaba63ae1D142b8ae8e55cf5d0a81ebe0.Magania.xml,7,0,0,0,0,0,12,0,0,0,0,0,79,0,0
a9cab6081704d94a43ecd5f0ff6d7D7e14e719acd.Swizzor.xml,10,3,0,1,35,716,0,0,0,0,0,0,0,0,0
a9cc39720ea93227c78fc4875bd04c942e18aae50.Swizzor.xml,10,3,4,0,0,26,4,0,2,0,0,0,0,0,0
a9f7fdba3565654951ddb273482cc1102ad61f6b2.VB.xml,12,0,0,1,0,0,2257,0,0,0,0,0,0,0,0
aa0735d5197e10a78e8ef0fFe650b0adb6fcb0ce9.Swizzor.xml,10,3,0,1,44,849,0,0,0,0,0,0,0,0,0
aa0f91124c983dbb21f7c298d157ae6a9c61797a5.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aa35d49d56de8ae9b5e6920c9cc9408a1b9f8c38b.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aa53f2c8473183c98fcb083388b224d6fC79a3c38.FraudPack.xml,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
aa6c104c6Dec43b575ad8bbfaca34591912ccaf84.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aa6e9d3f329052a741da46c623912c31b128f7fb6.None.xml,8,0,4,1,0,0,0,1,0,0,0,0,0,2,1
aa89567b4dd91819fcee9c13b8f20857f314c2893.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aa8f480477f9d57655a9a13fb2eD0f1f9ee59f0d7.VB.xml,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0
aa8ff53c00d9668abef37c5fee6ac4ea82a82ea7e.Swizzor.xml,10,3,0,1,42,816,0,0,0,0,0,0,0,0,0
aaa29202ce3bd8dd4c8c3a4a0b351321e636aa93b.VB.xml,12,0,0,3,0,0,22,0,0,0,0,0,0,2,1
aaa4dce1d0ac1f20c11546ad8a8b9186296c1e8b0.AutoRun.xml,1,2,8,0,0,0,4,0,0,0,0,0,0,0,0
aaa973298444ef36b1d90a2fe2205850152779e58.Tdss.xml,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac07f3896880f3cedefceef5bd2b66ef5e3e0e78.None.xml,8,0,0,2,0,0,0,0,0,0,0,0,0,2,1
aac804e980273eeab768173523a94040ae653c339.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aaceefe392595b365250ef0bd2dd80bacfcc78e76.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
