filename,virus,CREATE_SUSPENDED,WININET.dll.InternetOpenUrl,WS_MAXIMIZEBOX,OverlappedWinsockIO_Recv,<dump_line,Einstellungen,&#xD9,NetShareEnumSticky,MSWSOCK,00 00 00 00 00 00 00 00,Travel Insurance.url,MachineGuid,WINHELP.INI,Shell_TrayWnd
00269ea50001a6c699d0222032d45b74b2e7e8be9.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00278ec420236020d6121dffe0cc20034422e7228.Lipler.xml,6,0,12,1,0,3434,295,0,12,0,27,0,1,0,3
002d5615d19c851934dc481c607b6a74a6e9e536e.VB.xml,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0
006be5Dc265600c19728c9747fb4c7bc9e8d6f106.None.xml,8,0,0,1,0,0,116,0,2,0,0,0,0,0,1
0089453df77890cae95ce7d9130a4ef85eaea36e8.Swizzor.xml,10,3,0,1,32,636,0,0,0,0,0,0,0,0,0
009b59ea3f1f2023f41ce6c7e9c1376e57008fc01.Zbot.xml,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009e91f9f01186d90cac584d950d6246700a48d35.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00bee48acc9d1774e4edf96f9582fac06b2ec1f14.None.xml,8,0,0,1,0,853,3,0,2,0,0,0,0,2,0
00bef0928a8a8e1001e99c0327898652b6f0bc75c.None.xml,8,0,0,0,0,0,12,0,0,0,0,0,25,0,0
00bfdb4aa7b18d3bc0e28d2eb0cec76900b29b8b8.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00de32a2d3e8407bf028c7b6e399fa98c96bbbfdd.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00f400749830eb8c878a14dd1b3a6d5454ba3Ca73.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00fa504f0bd45969fd29d4c740c801c1027698415.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0106c08559ba2663a7d4da40b3415c852408eb256.Zbot.xml,14,17,52,0,0,189,2,0,0,7,0,0,27,0,0
010a1da500dc2297df576a6d952b0056dd3763cfd.Swizzor.xml,10,3,4,0,0,31,4,2,2,0,0,0,0,0,0
01322b9d9b987f381738b3d761d704ded8fa2ad3f.Virut.xml,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01358b66c2cbd1df26917b34a85a0d623c443b54c.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
013a7412f4f0c6adc9ab9b26a9336b5ab1780549e.None.xml,8,0,0,0,0,0,0,12,0,0,0,0,0,0,1
0141ca53acd4e5a9e8b9349026690b3869c3f174b.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
014a3beecda7cbb427caeb44ff7b886f0fed5F2f4.Virut.xml,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0
014fc6d0e98d2c4a5F6d5155f3e46b25db4bd0e5f.Swizzor.xml,10,15,16,1,38,2817,30,0,4,0,665,4,0,0,0
0158a59e7f7a177c319bbc81b5d63e16a3e1b7f20.VB.xml,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0
01942233ac19796d5bf70ead2ec1a72b75b6f494e.Agent.xml,0,0,0,0,0,0,35,0,0,0,0,0,2,0,1
01b4d1b9863fc8c7bd1cb2017615b3a549c9cD0ee.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01b7e69243be5470e3715bb2b3cf1aae4bedd327d.Swizzor.xml,10,3,4,0,0,31,4,0,2,0,0,0,0,0,0
01dad74d06fd3c015c63a22687f4621e2e23a7f73.Swizzor.xml,10,3,0,1,41,812,0,0,0,0,0,0,0,0,0
020b378a83fa1f9bbab9f302e73Da880b667ff2c9.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
020be27c9d3502fac17de5da9a46eedd9c0e1e296.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0212f317d92ddc8616c100acbc42778308babf934.Agent.xml,0,0,4,0,0,33,4,0,2,0,0,0,25,0,1
021feaAf3ef639cf91861c3516e5d20a1a1def5c6.Swizzor.xml,10,15,16,1,49,2629,31,0,8,0,671,4,0,0,0
02214e71dc7c94efda1495dd5540c730143e8030a.Tdss.xml,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02349f4deb99e7390afC34267f90f3146a0835d3c.Agent.xml,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0
02407d996dce5816c7016b64fecd68ee592870833.None.xml,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
